职位名称,公司名称,所在城市,经验要求,公司福利,发布时间,公司规模,业务范围,公司类型,详情页面
Python开发工程师,北京九畴科技有限公司,北京-海淀区,1年经验,,08-19,500-1000人,计算机软件,民营公司,https://jobs.51job.com/chengdu-jnq/130313944.html
Python开发工程师,江苏艾康生物医药研发有限公司,南京-浦口区,3-4年经验,五险一金 定期体检 年终奖金 周末双休 带薪年假 做五休二 节日福利,08-19,50-150人,制药/生物工程,民营公司,https://jobs.51job.com/chengdu-jnq/126574824.html
高级Python开发工程师,普华永道商务服务（成都）有限公司,成都,3-4年经验,五险一金 补充医疗保险 餐饮补贴 交通补贴 定期体检,08-19,1000-5000人,会计/审计,外资（非欧美）,https://jobs.51job.com/chengdu-jnq/141436999.html
Python开发工程师,武汉楚精灵医疗科技有限公司,武汉-洪山区,2年经验,,08-19,50-150人,医疗设备/器械,民营公司,https://jobs.51job.com/chengdu-jnq/109892695.html
Python开发工程师,湖南匡安网络技术有限公司,长沙-岳麓区,2年经验,双休 五险一金 绩效激励 年终奖金 餐饮补贴,08-19,50-150人,通信/电信/网络设备,民营公司,https://jobs.51job.com/chengdu-jnq/129283657.html
Python开发工程师,广州华资软件技术有限公司,广州,3-4年经验,五险一金 补充医疗保险 员工旅游 年终奖金 定期体检 节日礼金 14薪+,08-19,1000-5000人,计算机软件,民营公司,https://jobs.51job.com/chengdu-jnq/138149992.html
Python爬虫工程师,土筑虎商业服务（深圳）有限公司,深圳-龙岗区,2年经验,做五休二 绩效奖金 全勤奖 节日福利 购买社保 提供中餐,08-18,少于50人,计算机软件,民营公司,https://jobs.51job.com/chengdu-jnq/141077707.html
python爬虫工程师,广州三毛信息科技有限公司,广州-越秀区,1年经验,五险一金 员工旅游 下午茶,08-18,少于50人,互联网/电子商务,民营公司,https://jobs.51job.com/chengdu-jnq/129255131.html
Python开发工程师,江苏飞力达国际物流股份有限公司,昆山,2年经验,五险一金 定期体检 绩效奖金 带薪年假 高温补贴,08-18,1000-5000人,交通/运输/物流,上市公司,https://jobs.51job.com/chengdu-jnq/141569532.html
Python工程师,上海握蓝企业发展有限公司,上海-松江区,2年经验,五险一金 绩效奖金 年终奖金 交通补贴 餐饮补贴 通讯补贴 弹性工作,08-18,50-150人,建筑/建材/工程,民营公司,https://jobs.51job.com/chengdu-jnq/141537221.html
Python高级开发工程师,上海华屹数码科技有限公司,上海-徐汇区,3-4年经验,五险一金 员工旅游 定期体检 弹性工作 餐饮补贴 年终奖金 下午茶 节日福利 带薪年假 周末双休,08-18,150-500人,计算机软件,合资,https://jobs.51job.com/chengdu-jnq/137423975.html
Python开发工程师,浙江大冲能源科技股份有限公司,杭州,1年经验,五险一金 员工旅游 专业培训 绩效奖金 年终奖金 定期体检,08-18,50-150人,新能源,民营公司,https://jobs.51job.com/chengdu-jnq/133492519.html
Python开发工程师,莆田市申禾科技有限公司,莆田,3-4年经验,五险一金 专业培训 年终奖金 周末双休,08-18,50-150人,互联网/电子商务,民营公司,https://jobs.51job.com/chengdu-jnq/140241029.html
Python工程师,进迭时空（杭州）科技有限公司,杭州-余杭区,3-4年经验,年终奖金 弹性工作 专业培训 餐饮补贴 周末双休 六险一金,08-18,50-150人,电子技术/半导体/集成电路,民营公司,https://jobs.51job.com/chengdu-jnq/141403883.html
测控软件工程师（python),合肥弈维量子科技有限公司,苏州-工业园区,3-4年经验,专业培训 绩效奖金 年终奖金,08-18,少于50人,计算机服务(系统、数据服务、维修),民营公司,https://jobs.51job.com/chengdu-jnq/141763735.html
高级Python开发工程师,杭州零重空间技术有限公司,杭州-西湖区,3-4年经验,五险一金 绩效奖金 年终奖金 股票期权 弹性工作 定期体检,08-18,50-150人,航天/航空,民营公司,https://jobs.51job.com/chengdu-jnq/141040972.html
Python开发工程师,西安明月华炎信息科技有限公司,南昌-青山湖区,3-4年经验,,08-18,150-500人,计算机软件,民营公司,https://jobs.51job.com/chengdu-jnq/135503188.html
Python后台开发工程师,深圳市智影医疗科技有限公司,深圳,3-4年经验,五险一金 免费班车 年终奖金 定期体检,08-18,少于50人,医疗设备/器械,合资,https://jobs.51job.com/chengdu-jnq/125464913.html
Python开发工程师,广州市乐无边教育科技有限公司,广州-天河区,1年经验,员工旅游 定期体检 周末双休 下午茶 六险一金 项目奖金 专业培训 绩效奖金,08-18,50-150人,计算机软件,民营公司,https://jobs.51job.com/chengdu-jnq/133756609.html
Python开发工程师,上海工业自动化仪表研究院有限公司,上海-徐汇区,2年经验,五险一金 交通补贴 餐饮补贴 节日福利 高温补贴 加班补贴 年终奖金 定期体检,08-18,150-500人,仪器仪表/工业自动化,国企,https://jobs.51job.com/chengdu-jnq/140709624.html
Python开发工程师,北京中富金石咨询有限公司四川分公司,成都-高新区,2年经验,周末双休 带薪年假 五险一金 绩效奖金 全勤奖 节日福利 专业培训,08-18,150-500人,金融/投资/证券,民营公司,https://jobs.51job.com/chengdu-jnq/139957411.html
研发工程师（Python系统开发）,上海伯豪生物技术有限公司,上海-浦东新区,1年经验,做五休二 五险一金 周末双休 交通补贴 绩效奖金 餐饮补贴 通讯补贴,08-18,150-500人,制药/生物工程,合资,https://jobs.51job.com/chengdu-jnq/141744946.html
人工智能python工程师,北京康鹤科技有限责任公司,北京-东城区,2年经验,五险一金 员工旅游 餐饮补贴 专业培训 绩效奖金 年终奖金 定期体检,08-18,少于50人,电子技术/半导体/集成电路,民营公司,https://jobs.51job.com/chengdu-jnq/137041375.html
1.python后端开发工程师,中科南京软件技术研究院,南京,2年经验,五险一金 定期体检 绩效奖金 年底双薪 免费班车,08-18,150-500人,计算机软件,事业单位,https://jobs.51job.com/chengdu-jnq/138143165.html
Python开发工程师,苏州市精创测控技术有限公司,苏州-工业园区,2年经验,五险一金 绩效奖金 年终奖金 员工旅游 专业培训 定期体检 餐饮补贴 交通补贴 通讯补贴 补充医疗保险,08-18,150-500人,电子技术/半导体/集成电路,民营公司,https://jobs.51job.com/chengdu-jnq/136985864.html
Python开发工程师,中电金信软件有限公司,深圳-罗湖区,3-4年经验,五险一金 年终奖金 周末双休,08-18,10000人以上,计算机软件,国企,https://jobs.51job.com/chengdu-jnq/140636973.html
Python开发工程师（RPA）,广州合道信息科技有限公司,广州-天河区,2年经验,周末双休 五险一金 交通补贴 餐饮补贴 通讯补贴 绩效奖金 定期体检 专业培训 年终奖金,08-18,150-500人,计算机软件,民营公司,https://jobs.51job.com/chengdu-jnq/131011438.html
Python开发工程师,中国科学技术大学上海研究院,上海-浦东新区,2年经验,五险一金 绩效奖金 带薪年假 补充公积金 定期体检,08-18,少于50人,教育/培训/院校,事业单位,https://jobs.51job.com/chengdu-jnq/140648986.html
Python,昆山创酷信息科技有限公司,昆山,3-4年经验,交通补贴 餐饮补贴 通讯补贴 专业培训 绩效奖金 年终奖金 弹性工作,08-18,150-500人,计算机软件,民营公司,https://jobs.51job.com/chengdu-jnq/140206990.html
中级Python开发工程师（郑州）,上海汇尼信息科技有限公司,郑州-金水区,3-4年经验,五险一金 免费班车 专业培训 弹性工作 绩效奖金 年终奖金 定期体检 大牛带队 领导nice,08-18,50-150人,计算机软件,民营公司,https://jobs.51job.com/chengdu-jnq/140479452.html
Python开发工程师(中高级）,迪爱斯信息技术股份有限公司,上海-徐汇区,3-4年经验,补充医疗保险 五险一金 定期体检 绩效奖金 专业培训 年终奖金 补充公积金,08-18,500-1000人,通信/电信/网络设备,国企,https://jobs.51job.com/chengdu-jnq/136425907.html
Python开发工程师,深圳市中诺思科技股份有限公司,深圳-南山区,2年经验,五险一金 年终奖金 员工旅游 专业培训 团队优秀 领导亲和 团建培训,08-18,150-500人,计算机软件,民营公司,https://jobs.51job.com/chengdu-jnq/141609004.html
职位名称,公司名称,所在城市,经验要求,公司福利,发布时间,公司规模,业务范围,公司类型,详情页面
服务端软件工程师(Python）（BG）,上海游斐网络科技有限公司,上海-长宁区,2年经验,,08-17,150-500人,网络游戏,民营公司,https://jobs.51job.com/chengdu-jnq/136751199.html
Python开发工程师,上海创至计算机科技股份有限公司,贵阳-观山湖区,1年经验,五险一金 节假日福利 带薪年假,08-17,50-150人,计算机服务(系统、数据服务、维修),民营公司,https://jobs.51job.com/chengdu-jnq/138314084.html
Python开发工程师,爱才集团有限公司,杭州-余杭区,2年经验,五险一金 专业培训 绩效奖金 年终奖金,08-17,,计算机软件,民营公司,https://jobs.51job.com/chengdu-jnq/139648516.html
Python开发工程师,深圳市建筑设计研究总院有限公司,深圳-南山区,2年经验,五险一金 年终奖金 专业培训 定期体检 部门活动 节假日福利 带薪年假,08-17,500-1000人,建筑/建材/工程,国企,https://jobs.51job.com/chengdu-jnq/138228515.html
Python开发工程师,西安润和软件信息技术有限公司,西安,3-4年经验,五险一金 免费班车 员工旅游 交通补贴 专业培训 绩效奖金 年终奖金 定期体检,08-17,1000-5000人,计算机软件,民营公司,https://jobs.51job.com/chengdu-jnq/140942977.html
Python开发工程师,深圳市万邑通信息科技有限公司,深圳-南山区,3-4年经验,五险一金 补充公积金 交通补贴 餐饮补贴 股票期权 弹性工作 定期体检,08-17,1000-5000人,互联网/电子商务,民营公司,https://jobs.51job.com/chengdu-jnq/128770802.html
Python开发工程师,启迪数字科技（深圳）有限公司,深圳-南山区,3-4年经验,五险一金 节日福利 年终奖金 员工旅游 双休 项目提成 人才房,08-17,50-150人,公关/市场推广/会展,民营公司,https://jobs.51job.com/chengdu-jnq/139279311.html
Python开发工程师,四川伯程润锦信息技术有限公司,成都-高新区,3-4年经验,绩效奖金 节日福利 做五休二 生日福利 五险一金 餐饮补贴 专业培训 年终奖金,08-17,,专业服务(咨询、人力资源、财会),民营公司,https://jobs.51job.com/chengdu-jnq/138737847.html
Python开发工程师,深圳市雄帝科技股份有限公司,武汉,3-4年经验,五险一金 绩效奖金 年终奖金 股票期权 周末双休 定期体检 节日福利,08-17,500-1000人,电子技术/半导体/集成电路,民营公司,https://jobs.51job.com/chengdu-jnq/140210682.html
Python开发工程师,常州英睿人力资源服务有限公司,无锡-锡山区,2年经验,五险一金 职位晋升 年终奖金,08-17,少于50人,专业服务(咨询、人力资源、财会),外资（非欧美）,https://jobs.51job.com/chengdu-jnq/140780752.html
Python开发工程师,北京宜选科技股份公司,长沙,2年经验,五险一金 餐饮补贴 周末双休 节日福利 带薪年假,08-17,500-1000人,互联网/电子商务,民营公司,https://jobs.51job.com/chengdu-jnq/137895935.html
"软件开发工程师(.Net, Python, Java)",纬泓软件（珠海）有限公司,珠海,1年经验,五险一金 交通补贴 餐饮补贴 绩效奖金 定期体检,08-17,150-500人,计算机软件,外资（非欧美）,https://jobs.51job.com/chengdu-jnq/136119743.html
Python开发工程师,网思科技股份有限公司,郑州,3-4年经验,五险一金 通讯补贴 年终奖金 定期体检,08-17,500-1000人,计算机服务(系统、数据服务、维修),民营公司,https://jobs.51job.com/chengdu-jnq/140866283.html
123973高级后端开发工程师（Python）,深圳市大疆创新科技有限公司,深圳-南山区,5-7年经验,五险一金 餐饮补贴 通讯补贴 绩效奖金 年终奖金 弹性工作 住宿补贴,08-17,10000人以上,电子技术/半导体/集成电路,民营公司,https://jobs.51job.com/chengdu-jnq/139297467.html
