职位名称,公司名称,所在城市,经验要求,公司福利,发布时间,公司规模,业务范围,公司类型,详情页面
社招职位 - 平台集成与开发研发岗（软件架构方向）,上海飞机制造有限公司,上海,2年经验,,08-21,,航天/航空,国企,https://jobs.51job.com/chengdu-jnq/139987292.html
初级嵌入式软件工程师,浙江迪捷软件科技有限公司,绍兴,1年经验,,08-21,,制药/生物工程,民营公司,https://jobs.51job.com/chengdu-jnq/140093730.html
软件架构开发工程师,海尔智家股份有限公司,青岛,8-9年经验,,08-21,10000人以上,家具/家电/玩具/礼品,上市公司,https://jobs.51job.com/chengdu-jnq/141906806.html
应用软件工程师,上海朔尚电子科技有限公司,上海-闵行区,1年经验,五险一金 年终奖金,08-21,50-150人,通信/电信/网络设备,民营公司,https://jobs.51job.com/chengdu-jnq/120772716.html
软件工程师,芯茂（嘉兴）半导体科技有限公司,嘉兴-嘉善县,2年经验,五险一金 交通补贴 餐饮补贴 年终奖金,08-21,少于50人,电子技术/半导体/集成电路,民营公司,https://jobs.51job.com/chengdu-jnq/141351299.html
高级软件研发工程师,江苏才道精密仪器有限公司,昆山,2年经验,五险一金 绩效奖金 年终奖金 通讯补贴 员工旅游 交通补贴 股票期权,08-21,50-150人,仪器仪表/工业自动化,民营公司,https://jobs.51job.com/chengdu-jnq/135449908.html
云计算研发工程师,广东纬德信息科技股份有限公司,广州-黄埔区,1年经验,五险一金 专业培训 年终奖金 弹性工作,08-21,150-500人,通信/电信/网络设备,上市公司,https://jobs.51job.com/chengdu-jnq/139268850.html
系统架构师,上海宝藤生物医药科技股份有限公司,上海-浦东新区,5-7年经验,五险一金 餐饮补贴 专业培训 通讯补贴 年终奖金 交通补贴,08-21,150-500人,制药/生物工程,民营公司,https://jobs.51job.com/chengdu-jnq/141908773.html
东风小康-OBC/DC软件主任工程师,赛力斯集团股份有限公司,重庆-江津区,3-4年经验,五险一金 餐饮补贴 通讯补贴 专业培训 绩效奖金 年终奖金 弹性工作 包住 免费班车 年休假,08-21,10000人以上,汽车,上市公司,https://jobs.51job.com/chengdu-jnq/141904380.html
办公室技术岗,深圳市迪尔本气动科技有限公司,深圳-宝安区,无需经验,五险一金 通讯补贴 绩效奖金 年终奖金 定期体检 补充公积金 弹性工作,08-21,150-500人,计算机软件,民营公司,https://jobs.51job.com/chengdu-jnq/141849346.html
插件开发工程师,七虹（河南）云计算科技有限公司,郑州-金水区,3-4年经验,五险一金 员工旅游 专业培训 弹性工作 绩效奖金,08-21,,计算机软件,民营公司,https://jobs.51job.com/chengdu-jnq/141499860.html
高级工程师,索尼精密部件（惠州）有限公司,惠州,5-7年经验,,08-21,,电子技术/半导体/集成电路,外资（非欧美）,https://jobs.51job.com/chengdu-jnq/140938721.html
嵌入式软件开发工程师（苏州）,峰飞航空科技（昆山）有限公司,苏州,3-4年经验,,08-21,,计算机软件,民营公司,https://jobs.51job.com/chengdu-jnq/140246056.html
001-研发BIOS编程工程师（宿迁）,仁宝信息技术（昆山）有限公司,宿迁,无需经验,,08-21,,计算机软件,民营公司,https://jobs.51job.com/chengdu-jnq/140233424.html
系统高级应用开发工程师,南京河海南自水电自动化有限公司,南京,2年经验,,08-21,,仪器仪表/工业自动化,国企,https://jobs.51job.com/chengdu-jnq/140139992.html
.NET开发工程师,中山华定科技有限公司,中山,2年经验,五险一金 补充医疗保险 员工旅游 交通补贴 通讯补贴 专业培训 定期体检 年终奖金 带薪年假 餐饮补贴,08-21,50-150人,计算机软件,外资（欧美）,https://jobs.51job.com/chengdu-jnq/139822523.html
全栈工程师（贵阳）,河南能源化工集团有限公司,贵阳,2年经验,,08-21,,石油/化工/矿产/地质,国企,https://jobs.51job.com/chengdu-jnq/139466770.html
DevOps Engineer,赛昉科技,上海-浦东新区,5-7年经验,五险一金 年终奖金 定期体检,08-21,50-150人,电子技术/半导体/集成电路,外资（欧美）,https://jobs.51job.com/chengdu-jnq/137867220.html
软件开发工程师,无锡市凯灵电子有限公司,无锡-锡山区,无需经验,五险一金 绩效奖金 员工旅游 通讯补贴 年终奖金 定期体检 生日福利,08-21,50-150人,仪器仪表/工业自动化,民营公司,https://jobs.51job.com/chengdu-jnq/66106164.html
软件开发工程师,上海群志光电有限公司,上海,1年经验,做五休二 周末双休 五险一金 带薪年假 免费班车 节日福利 专业培训 餐饮补贴 加班补贴 绩效奖金,08-21,1000-5000人,电子技术/半导体/集成电路,合资,https://jobs.51job.com/chengdu-jnq/141576146.html
ITSE,野村综研（大连）科技有限公司,大连,3-4年经验,五险一金 补充医疗保险 节日福利 住房补贴,08-21,150-500人,外包服务,外资（非欧美）,https://jobs.51job.com/chengdu-jnq/139989198.html
大数据开发工程(金融行业）,上海新致软件股份有限公司,上海-浦东新区,3-4年经验,五险一金 定期体检,08-21,1000-5000人,计算机软件,合资,https://jobs.51job.com/chengdu-jnq/116434093.html
软件开发工程师（应用软件）,唐山松下产业机器有限公司,唐山,无需经验,五险一金 免费班车 专业培训 出国机会 绩效奖金 年终奖金 定期体检 免费午餐 周末双休,08-21,500-1000人,机械/设备/重工,合资,https://jobs.51job.com/chengdu-jnq/84194363.html
SW Engineer-HMI,贝洱海拉温控系统（上海）有限公司,上海-闵行区,3-4年经验,五险一金 员工旅游 定期体检,08-21,150-500人,汽车,外资（欧美）,https://jobs.51job.com/chengdu-jnq/137457951.html
大数据架构师-技术平台,恒生电子股份有限公司,杭州-滨江区,8-9年经验,五险一金 补充医疗保险 交通补贴 餐饮补贴 年终奖金 定期体检 员工旅游 专业培训 弹性工作,08-21,5000-10000人,计算机软件,民营公司,https://jobs.51job.com/chengdu-jnq/139623009.html
软件工程师,南京文易特电子科技有限公司,南京-江宁区,5-7年经验,,08-21,,电子技术/半导体/集成电路,民营公司,https://jobs.51job.com/chengdu-jnq/139779083.html
软件工程师,青岛麦隆智造影视科技有限公司,青岛-城阳区,5-7年经验,五险一金 绩效奖金 年终奖金 弹性工作,08-21,少于50人,电子技术/半导体/集成电路,民营公司,https://jobs.51job.com/chengdu-jnq/138711650.html
初级Java开发工程师,上海栎玟信息科技有限公司,昆明-盘龙区,1年经验,五险 年终奖金 专业培训 节日福利 周末双休,08-21,少于50人,计算机软件,民营公司,https://jobs.51job.com/chengdu-jnq/137906315.html
软件开发工程师,南京沃赢教育科技有限公司,南京-江宁区,无需经验,五险一金 员工旅游 餐饮补贴 专业培训 绩效奖金 年终奖金 住宿补贴,08-21,50-150人,计算机软件,民营公司,https://jobs.51job.com/chengdu-jnq/141882662.html
Java开发工程师（深汕）,中电科新型智慧城市研究院有限公司,汕尾,1年经验,五险一金 餐饮补贴 绩效奖金 年终奖金 定期体检 通讯补贴 专业培训,08-21,150-500人,计算机服务(系统、数据服务、维修),国企,https://jobs.51job.com/chengdu-jnq/141901528.html
大数据开发工程师,江苏幸时代数字科技有限公司,南通-崇川区,3-4年经验,五险一金 餐饮补贴 通讯补贴 绩效奖金 年终奖金 定期体检 专业培训 员工旅游 股票期权,08-21,少于50人,通信/电信/网络设备,民营公司,https://jobs.51job.com/chengdu-jnq/141900996.html
Java高级架构工程师,苏州谷英人力资源服务有限公司,上海-静安区,8-9年经验,五险一金 专业培训 定期体检 年终奖金 交通补贴 餐饮补贴,08-21,少于50人,专业服务(咨询、人力资源、财会),民营公司,https://jobs.51job.com/chengdu-jnq/141900829.html
软件开发工程师,北京金万众机械科技股份有限公司,北京,3-4年经验,五险一金 交通补贴 餐饮补贴,08-21,150-500人,机械/设备/重工,民营公司,https://jobs.51job.com/chengdu-jnq/141899837.html
人工智能程序员,武汉神码工坊网络科技有限公司,武汉-洪山区,1年经验,五险一金 周末双休 不定期团建,08-21,50-150人,计算机软件,民营公司,https://jobs.51job.com/chengdu-jnq/141899619.html
工具开发工程师（嵌入式软件平台） (MJ000061),上海金脉电子科技有限公司,上海,3-4年经验,五险一金 年终奖金,08-21,500-1000人,汽车,民营公司,https://jobs.51job.com/chengdu-jnq/141899208.html
工具软件开发工程师,翱捷科技股份有限公司,上海-浦东新区,3-4年经验,补充医疗保险 五险一金 补充公积金 定期体检 餐饮补贴 年终奖金,08-21,500-1000人,电子技术/半导体/集成电路,民营公司,https://jobs.51job.com/chengdu-jnq/141896796.html
软件工程师,冠通期货股份有限公司,北京,2年经验,五险一金 餐饮补贴 绩效奖金 年终奖金 定期体检 节日福利 全勤奖 带薪年假,08-21,150-500人,金融/投资/证券,民营公司,https://jobs.51job.com/chengdu-jnq/141896728.html
大数据技术经理,广东高捷航运物流有限公司,广州,5-7年经验,五险一金 员工旅游 绩效奖金 年终奖金 晋升空间大 工作氛围好 弹性工作,08-21,500-1000人,交通/运输/物流,民营公司,https://jobs.51job.com/chengdu-jnq/141896597.html
初级RPA开发实施工程师,广州庚亿信息科技有限公司,佛山-南海区,1年经验,免费班车 专业培训 带薪年假 节日福利 社保齐全 周末双休,08-21,少于50人,计算机软件,民营公司,https://jobs.51job.com/chengdu-jnq/141896485.html
软件开发工程师,富士康科技集团,深圳-龙华区,无需经验,五险一金,08-21,10000人以上,电子技术/半导体/集成电路,外资（非欧美）,https://jobs.51job.com/chengdu-jnq/141895183.html
数字化平台研发总监,合肥仁洁智能科技有限公司,合肥-高新区,10年以上经验,周末双休 带薪年假 五险一金 节日福利 通讯补贴 高温补贴 补充医疗保险 出国机会 弹性工作,08-21,50-150人,新能源,民营公司,https://jobs.51job.com/chengdu-jnq/141894014.html
数据开发工程师,中通服创立信息科技有限责任公司,成都-青羊区,3-4年经验,五险一金 补充医疗保险 交通补贴 餐饮补贴 通讯补贴 专业培训 绩效奖金 年终奖金 定期体检 电脑补助,08-21,500-1000人,计算机软件,国企,https://jobs.51job.com/chengdu-jnq/141893455.html
嵌入式软件工程师（智慧研究院）,乐歌人体工学科技股份有限公司,宁波-鄞州区,3-4年经验,五险一金 股票期权 年终奖金 绩效奖金 免费三餐,08-21,1000-5000人,贸易/进出口,上市公司,https://jobs.51job.com/chengdu-jnq/141892809.html
Cuda工程師,深圳市宝锋华诚科技有限公司,深圳-南山区,1年经验,交通补贴 餐饮补贴 通讯补贴 年终奖金 股票期权 弹性工作 周末双休,08-21,少于50人,计算机软件,民营公司,https://jobs.51job.com/chengdu-jnq/141890915.html
大数据工程师,亿磐,成都-高新区,3-4年经验,专业培训 弹性工作 五险一金 补充医疗保险 上市公司 发展空间大,08-21,10000人以上,计算机软件,外资（欧美）,https://jobs.51job.com/chengdu-jnq/141890832.html
数据开发工程师,深圳市皓羽科技有限公司,深圳-福田区,2年经验,五险一金 员工旅游 专业培训 定期体检 绩效奖金 年终奖金,08-21,,电子技术/半导体/集成电路,民营公司,https://jobs.51job.com/chengdu-jnq/141890314.html
Java开发,杭州长圣电子商务有限公司,杭州-滨江区,1年经验,交通补贴 绩效奖金 年终奖金,08-21,50-150人,通信/电信运营、增值服务,民营公司,https://jobs.51job.com/chengdu-jnq/141888255.html
高级软件开发工程师,深圳市优必选科技股份有限公司,深圳,3-4年经验,,08-21,1000-5000人,计算机硬件,民营公司,https://jobs.51job.com/chengdu-jnq/141887425.html
职位名称,公司名称,所在城市,经验要求,公司福利,发布时间,公司规模,业务范围,公司类型,详情页面
职位名称,公司名称,所在城市,经验要求,公司福利,发布时间,公司规模,业务范围,公司类型,详情页面
大数据工程师,亿磐,成都-高新区,3-4年经验,专业培训 弹性工作 五险一金 补充医疗保险 上市公司 发展空间大,08-21,10000人以上,计算机软件,外资（欧美）,https://jobs.51job.com/chengdu-jnq/141890832.html
数据开发工程师,深圳市皓羽科技有限公司,深圳-福田区,2年经验,五险一金 员工旅游 专业培训 定期体检 绩效奖金 年终奖金,08-21,,电子技术/半导体/集成电路,民营公司,https://jobs.51job.com/chengdu-jnq/141890314.html
Java开发,杭州长圣电子商务有限公司,杭州-滨江区,1年经验,交通补贴 绩效奖金 年终奖金,08-21,50-150人,通信/电信运营、增值服务,民营公司,https://jobs.51job.com/chengdu-jnq/141888255.html
高级软件开发工程师,深圳市优必选科技股份有限公司,深圳,3-4年经验,,08-21,1000-5000人,计算机硬件,民营公司,https://jobs.51job.com/chengdu-jnq/141887425.html
软件开发工程,宁波均普智能制造股份有限公司,宁波,3-4年经验,五险一金 交通补贴 餐饮补贴 通讯补贴 专业培训 周末双休 带薪年假 包三餐 绩效奖金,08-21,150-500人,仪器仪表/工业自动化,外资（欧美）,https://jobs.51job.com/chengdu-jnq/141887392.html
数据开发工程师,四川省创世华软科技有限公司,成都,2年经验,五险一金 补充医疗保险 年终奖金 定期体检,08-21,50-150人,计算机软件,民营公司,https://jobs.51job.com/chengdu-jnq/141885551.html
后端开发工程师,浙江晶阳机电股份有限公司,海宁,2年经验,五险一金 年终奖金 工作餐 包住宿 节日福利 全勤奖 加班补贴 高温补贴 专业培训,08-21,50-150人,机械/设备/重工,民营公司,https://jobs.51job.com/chengdu-jnq/141885352.html
后端开发工程师,重庆科斯迈生物科技有限公司,重庆-渝北区,2年经验,五险一金 餐饮补贴 绩效奖金 年终奖金 定期体检,08-21,150-500人,医疗设备/器械,民营公司,https://jobs.51job.com/chengdu-jnq/141884820.html
大数据开发工程师,福州迅腾信息技术有限公司,福州,2年经验,五险一金 绩效奖金 补充医疗保险 定期体检 餐饮补贴 专业培训 补充公积金 年终奖金 企业年金 商业团体险,08-21,50-150人,计算机软件,国企,https://jobs.51job.com/chengdu-jnq/141884764.html
大数据开发工程师,上海开奈电子通讯有限公司,杭州-西湖区,3-4年经验,五险一金 周末双休 加班补助 员工学习 专业培训,08-21,50-150人,通信/电信/网络设备,民营公司,https://jobs.51job.com/chengdu-jnq/141883041.html
初级Java开发工程师,南京海帆数据科技有限公司,南京-鼓楼区,1年经验,,08-21,少于50人,计算机服务(系统、数据服务、维修),民营公司,https://jobs.51job.com/chengdu-jnq/141879648.html
软件工程师,国药控股江西有限公司,南昌,1年经验,五险一金 节日福利 通讯补贴 交通补贴 高温补贴,08-21,500-1000人,制药/生物工程,国企,https://jobs.51job.com/chengdu-jnq/141878683.html
java开发工程师（双休/五险）,福州震旦计算机技术有限公司,福州-闽侯县,3-4年经验,节日福利 法定节假日 专业培训 年终奖金 绩效奖金 五险,08-21,150-500人,计算机软件,民营公司,https://jobs.51job.com/chengdu-jnq/141877926.html
C++软件工程师,海通（苏州）智能制造有限公司,青岛-崂山区,5-7年经验,五险一金 交通补贴 餐饮补贴 通讯补贴 周末双休 节假日福利,08-21,50-150人,仪器仪表/工业自动化,民营公司,https://jobs.51job.com/chengdu-jnq/141866540.html
C++开发工程师,深圳市信春科技有限公司,深圳-龙华区,1年经验,五险一金 弹性工作 绩效奖金 餐饮补贴 员工旅游,08-21,50-150人,计算机软件,民营公司,https://jobs.51job.com/chengdu-jnq/141786826.html
C++高级开发工程师,上海美佳达计算机工程有限责任公司,上海-静安区,3-4年经验,五险一金 绩效奖金 年终奖金 专业培训 股票期权,08-21,150-500人,计算机软件,民营公司,https://jobs.51job.com/chengdu-jnq/141731732.html
大数据开发工程师,上海肯汀通讯科技有限公司,上海-松江区,2年经验,五险一金 通讯补贴 餐饮补贴 交通补贴 周末双休 带薪年假 员工旅游 弹性工作 绩效奖金 年终奖金,08-21,150-500人,通信/电信/网络设备,民营公司,https://jobs.51job.com/chengdu-jnq/141729806.html
Linux应用开发工程师,青岛海泰新光科技股份有限公司,青岛,3-4年经验,带薪年假 包住宿 高温补贴 节日福利 免费班车 交通补贴 通讯补贴 年终奖金 五险一金,08-21,150-500人,医疗设备/器械,合资,https://jobs.51job.com/chengdu-jnq/141684269.html
SOC软件开发工程师,澳克诺（杭州）汽车科技有限公司,上海-嘉定区,3-4年经验,补充公积金 五险一金 补充医疗保险 员工旅游 绩效奖金 年终奖金,08-21,50-150人,汽车零配件,民营公司,https://jobs.51job.com/chengdu-jnq/141604765.html
嵌入式软件工程师GD(JMUV),广州导远电子科技有限公司,广州-黄埔区,2年经验,五险一金 补充医疗保险 餐饮补贴 交通补贴 员工旅游 定期体检 年终奖金 绩效奖金 领导好 团队氛围好,08-21,500-1000人,汽车,民营公司,https://jobs.51job.com/chengdu-jnq/141588253.html
高级研发工程师  (数据平台及算法平台开发),上海逸动医学科技有限公司,上海-松江区,3-4年经验,五险一金 交通补贴 年终奖金 弹性工作 带薪年假 节日福利 餐饮补贴 免费班车,08-21,50-150人,医疗设备/器械,民营公司,https://jobs.51job.com/chengdu-jnq/141499962.html
Java技术经理,浙江浙大网新图灵信息科技有限公司,上海-虹口区,5-7年经验,五险一金 员工旅游 年终奖金 定期体检 绩效奖金 餐饮补贴,08-21,500-1000人,计算机软件,民营公司,https://jobs.51job.com/chengdu-jnq/141373998.html
Linux开发工程师,上海兰宝环保科技有限公司,上海,5-7年经验,交通补贴 专业培训 业绩奖金 定期体检 五险一金 年终奖金 做五休二 免费班车 包吃 全勤奖,08-21,150-500人,环保,民营公司,https://jobs.51job.com/chengdu-jnq/141323404.html
软件开发工程师（嵌入式类/监控类/信息管理类）（社）,上海市静安区人才服务中心,上海,2年经验,,08-21,,专业服务(咨询、人力资源、财会),事业单位,https://jobs.51job.com/chengdu-jnq/141302799.html
设备研发软件工程师,芯派科技股份有限公司,西安,2年经验,五险一金 员工旅游 专业培训 餐饮补贴 年终奖金 定期体检 节日福利 带薪年假 周末双休 做五休二,08-21,50-150人,电子技术/半导体/集成电路,民营公司,https://jobs.51job.com/chengdu-jnq/141175217.html
嵌入式软件开发助理（6k-10k）,湖北谷瑞特生物技术有限公司,武汉-洪山区,1年经验,五险一金 补充医疗保险 交通补贴 年终奖金 弹性工作 专业培训 通讯补贴 餐饮补贴 出国机会 双休,08-21,150-500人,农/林/牧/渔,民营公司,https://jobs.51job.com/chengdu-jnq/141170479.html
嵌入式软件工程师,中国移动紫金（江苏）创新研究院有限公司,南京,1年经验,,08-21,,通信/电信运营、增值服务,国企,https://jobs.51job.com/chengdu-jnq/141155350.html
C/C++开发工程师,广州智臣信息科技有限公司,广州-天河区,3-4年经验,五险一金 员工旅游 餐饮补贴 通讯补贴 绩效奖金 年终奖金 周末双休,08-21,50-150人,计算机软件,民营公司,https://jobs.51job.com/chengdu-jnq/141004912.html
上位机软件工程师,合肥国轩高科动力能源有限公司,合肥-包河区,1年经验,五险一金 年终奖金 绩效奖金 免费班车 餐饮补贴 带薪年假 节日礼品 司龄补贴 上市公司 前沿行业,08-21,10000人以上,新能源,上市公司,https://jobs.51job.com/chengdu-jnq/140936995.html
软件开发工程师,深圳市风云实业有限公司,成都-青羊区,3-4年经验,五险一金 补充公积金 员工旅游 餐饮补贴 绩效奖金 专业培训 年终奖金 弹性工作 定期体检,08-21,150-500人,通信/电信/网络设备,民营公司,https://jobs.51job.com/chengdu-jnq/140750200.html
嵌入式软件工程师（ARM方向）,深圳市易科诺科技发展有限公司,深圳-宝安区,2年经验,五险一金 员工旅游 周末双休,08-21,150-500人,计算机硬件,民营公司,https://jobs.51job.com/chengdu-jnq/140561164.html
MES工程师,苏州高迎检测技术有限公司,苏州-工业园区,3-4年经验,五险一金 年终奖金 出国机会 专业培训,08-21,少于50人,检测，认证,外资（非欧美）,https://jobs.51job.com/chengdu-jnq/140527378.html
001软件开发工程师,鼎镁新材料科技股份有限公司,昆山,2年经验,,08-21,,计算机软件,民营公司,https://jobs.51job.com/chengdu-jnq/140229825.html
开发工程师,上海零迈防护电器有限公司,上海-嘉定区,2年经验,五险一金 交通补贴 餐饮补贴 通讯补贴 绩效奖金 年终奖金,08-21,50-150人,机械/设备/重工,民营公司,https://jobs.51job.com/chengdu-jnq/140125050.html
C++开发工程师,深圳市科尧科技有限公司,深圳-南山区,2年经验,六险一金 每天下午茶 福利津贴 年终奖金,08-21,,计算机软件,民营公司,https://jobs.51job.com/chengdu-jnq/139818018.html
嵌入式软件开发工程师,苏州旗芯微半导体有限公司,苏州-高新区,2年经验,五险一金 弹性工作 绩效奖金 员工旅游 定期体检 补充医疗保险 节日福利,08-21,50-150人,电子技术/半导体/集成电路,合资,https://jobs.51job.com/chengdu-jnq/139662130.html
物探方法与软件工程师,北京燕昆石油科技发展有限责任公司,兰州-城关区,3-4年经验,五险一金 餐饮补贴 通讯补贴 专业培训 绩效奖金 年终奖金,08-21,150-500人,石油/化工/矿产/地质,国企,https://jobs.51job.com/chengdu-jnq/139173801.html
JAVA工程师,广州研森互联科技有限公司,广州-海珠区,2年经验,五险一金 专业培训 交通补贴 周末双休 绩效奖金 年终奖金 员工旅游 定期体检,08-21,少于50人,计算机服务(系统、数据服务、维修),民营公司,https://jobs.51job.com/chengdu-jnq/139078492.html
系统架构设计师,银川贝尔利科技有限公司,银川,5-7年经验,五险一金 绩效奖金 年终奖金 交通补贴 周末双休 全勤奖 加班补贴,08-21,50-150人,仪器仪表/工业自动化,民营公司,https://jobs.51job.com/chengdu-jnq/138891446.html
软件工程师,江苏集萃智能集成电路设计技术研究所有限公司,无锡-无锡新区,1年经验,五险一金 交通补贴 年终奖金 定期体检 绩效奖金 员工旅游 专业培训,08-21,50-150人,电子技术/半导体/集成电路,民营公司,https://jobs.51job.com/chengdu-jnq/138879058.html
系统架构师,杭州联图科技有限公司,杭州-滨江区,3-4年经验,五险一金 周末双休,08-21,50-150人,互联网/电子商务,民营公司,https://jobs.51job.com/chengdu-jnq/138778397.html
高级软件开发工程师 (MA),宁波创母体网络科技有限公司,宁波,3-4年经验,五险一金 朝九晚六 周末双休 绩效奖金 年终奖金 餐饮补贴,08-21,少于50人,互联网/电子商务,外资（非欧美）,https://jobs.51job.com/chengdu-jnq/138408490.html
软件工程师,富聿邦电子（深圳）有限公司,深圳-龙华区,3-4年经验,带薪年假 绩效奖金 周末双休 年终奖金 五险一金 员工旅游 定期体检 餐饮补贴,08-21,50-150人,电子技术/半导体/集成电路,外资（非欧美）,https://jobs.51job.com/chengdu-jnq/138266345.html
软件工程师,兰州富美电子科技有限责任公司,兰州-城关区,3-4年经验,年终奖金 定期体检 专业培训 通讯补贴 餐饮补贴 交通补贴 员工旅游 绩效奖金 五险一金 补充医疗保险,08-21,50-150人,计算机服务(系统、数据服务、维修),民营公司,https://jobs.51job.com/chengdu-jnq/137954597.html
（课程）技术工程师,玖印创新教育科技（中山）有限公司,中山,1年经验,绩效奖金 交通补贴 餐饮补贴 通讯补贴 年终奖金 弹性工作 专业培训,08-21,少于50人,教育/培训/院校,民营公司,https://jobs.51job.com/chengdu-jnq/137655670.html
GPGPU CORE DV 内核验证工程师,成都海光集成电路设计有限公司,上海-浦东新区,3-4年经验,五险一金 补充医疗保险 补充公积金 弹性工作 年终奖金 绩效奖金 专业培训 定期体检,08-21,1000-5000人,电子技术/半导体/集成电路,民营公司,https://jobs.51job.com/chengdu-jnq/137616132.html
数据工程师,智沪铁路设备有限公司,上海-嘉定区,3-4年经验,五险一金 节日福利 专业培训 交通补贴 餐饮补贴 住房补贴 高温补贴 绩效奖金,08-21,150-500人,机械/设备/重工,合资,https://jobs.51job.com/chengdu-jnq/137580137.html
AI开发,四川华鲲振宇智能科技有限责任公司,成都-高新区,3-4年经验,五险一金 补充公积金 通讯补贴 专业培训 绩效奖金 年终奖金 股票期权,08-21,150-500人,计算机硬件,民营公司,https://jobs.51job.com/chengdu-jnq/137388754.html
初级java工程师（信科）,广东知一数据有限公司,广州-黄埔区,1年经验,五险一金 餐饮补贴 定期体检 绩效奖金,08-21,150-500人,计算机服务(系统、数据服务、维修),民营公司,https://jobs.51job.com/chengdu-jnq/137180502.html
C++开发工程师,杭州迦智科技有限公司,杭州-滨江区,3-4年经验,五险一金 定期体检 绩效奖金 年终奖金 水果零食 员工旅游,08-21,150-500人,仪器仪表/工业自动化,民营公司,https://jobs.51job.com/chengdu-jnq/137131988.html
自动化软件工程师（应届生）,深圳格兰达智能装备股份有限公司,深圳-坪山区,无需经验,包住宿 五险一金 餐饮补贴 员工旅游 周末双休 年终奖金,08-21,1000-5000人,电子技术/半导体/集成电路,合资,https://jobs.51job.com/chengdu-jnq/136304257.html
高级嵌入式软件工程师(J10582),上海兰宝传感科技股份有限公司,上海,3-4年经验,交通补贴 专业培训 业绩奖金 定期体检 五险一金 年终奖金 做五休二 免费班车 包吃 全勤奖,08-21,500-1000人,仪器仪表/工业自动化,民营公司,https://jobs.51job.com/chengdu-jnq/135558232.html
后端工程师,西湖欧米（杭州）生物科技有限公司,杭州,1年经验,,08-21,,互联网/电子商务,民营公司,https://jobs.51job.com/chengdu-jnq/133495210.html
CAD/CAM软件开发工程师,苏州海伯利安机器人科技有限公司,武汉-东湖新技术产业开发区,3-4年经验,五险一金 员工旅游 交通补贴 餐饮补贴 通讯补贴 专业培训 绩效奖金 年终奖金 股票期权 弹性工作,08-21,少于50人,仪器仪表/工业自动化,民营公司,https://jobs.51job.com/chengdu-jnq/132778421.html
002Java开发工程师,浙达电力科技（杭州）有限公司,杭州,2年经验,,08-21,,互联网/电子商务,民营公司,https://jobs.51job.com/chengdu-jnq/131310705.html
Java高级开发工程师,上海亿烨信息科技有限公司,上海-浦东新区,2年经验,五险一金 餐饮补贴 年终奖金 股票期权 弹性工作 交通补贴 通讯补贴 绩效奖金 专业培训,08-21,50-150人,计算机软件,民营公司,https://jobs.51job.com/chengdu-jnq/130822827.html
软件开发工程师（全栈方向）,天健会计师事务所（特殊普通合伙）,杭州-江干区,2年经验,五险一金 员工旅游 专业培训 绩效奖金 年终奖金 弹性工作 定期体检 通讯补贴 节日福利 加班补贴,08-21,5000-10000人,专业服务(咨询、人力资源、财会),民营公司,https://jobs.51job.com/chengdu-jnq/128549211.html
BI/云/大数据开发工程师,亿达信息技术有限公司,大连,在校生/应届生,,08-21,,计算机软件,民营公司,https://jobs.51job.com/chengdu-jnq/126894494.html
Java开发工程师,广州立思辰信息科技有限公司,广州-天河区,3-4年经验,五险一金 绩效奖金 年终奖金 通讯补贴 餐饮补贴 定期体检,08-21,少于50人,计算机服务(系统、数据服务、维修),上市公司,https://jobs.51job.com/chengdu-jnq/123428090.html
.NET高级开发工程师,上海天钿通网络科技发展有限公司,上海-青浦区,5-7年经验,五险一金 员工旅游 绩效奖金 周末双休 带薪假期 项目提成,08-21,50-150人,计算机软件,民营公司,https://jobs.51job.com/chengdu-jnq/77587545.html
Linux开发工程师,威海百丰信息科技有限公司,惠州,无需经验,五险一金 绩效奖金,08-21,150-500人,专业服务(咨询、人力资源、财会),民营公司,https://jobs.51job.com/chengdu-jnq/141888138.html
报表开发工程师,佰德人力资源集团有限公司,南京-玄武区,2年经验,五险一金,08-21,50-150人,专业服务(咨询、人力资源、财会),民营公司,https://jobs.51job.com/chengdu-jnq/141340308.html
C++开发工程师,厦门奇勇科技有限公司,厦门-集美区,3-4年经验,五险一金 绩效奖金 年终奖金 员工旅游,08-21,少于50人,计算机软件,民营公司,https://jobs.51job.com/chengdu-jnq/139432250.html
Java中级开发工程师,蓝网科技股份有限公司,深圳,3-4年经验,五险一金 员工旅游 周末双休 年终奖金 餐饮补贴 通讯补贴 绩效奖金,08-21,150-500人,计算机软件,民营公司,https://jobs.51job.com/chengdu-jnq/120668796.html
云平台研发工程师,中国航空无线电电子研究所,上海-徐汇区,3-4年经验,补充公积金 补充医疗保险 专业培训 弹性工作 年终奖金 绩效奖金 定期体检 导师带教 晋升空间广阔,08-21,1000-5000人,电子技术/半导体/集成电路,国企,https://jobs.51job.com/chengdu-jnq/141873383.html
Java开发工程师（智慧高速）,浙江中控信息产业股份有限公司,杭州-滨江区,1年经验,交通补贴 弹性工作 五险一金 员工旅游 通讯补贴 定期体检 年终奖金,08-21,1000-5000人,计算机服务(系统、数据服务、维修),民营公司,https://jobs.51job.com/chengdu-jnq/141858473.html
